lad_code,lad_name,imd_2015,imd_2019
E06000006,Halton,0.3340460965614313,0.3255422711118528
E06000011,East Riding of Yorkshire,0.6204351728207649,0.6280677335026816
E06000015,Derby,0.4256356702457387,0.4423523675652961
E06000017,Rutland,0.7455019863937653,0.7963909985451204
E06000018,Nottingham,0.2273833251971668,0.24428374353777027
E06000019,"Herefordshire, County of",0.473708510814775,0.49916714525847633
E06000027,Torbay,0.35567923252162914,0.36192344442935354
E06000033,Southend-on-Sea,0.45482771190378696,0.5015011947239216
E06000034,Thurrock,0.46570853168475623,0.48055746976804303
E06000036,Bracknell Forest,0.7301371169909366,0.745894914187701
E06000037,West Berkshire,0.7455912556175569,0.7600182185097423
E06000038,Reading,0.5053712272476584,0.5039244817031733
E06000044,Portsmouth,0.3770951496513717,0.37388959595652044
E07000004,Aylesbury Vale,0.7273275094024403,0.7309889341782843
E07000009,East Cambridgeshire,0.6762829217793747,0.7035015071704778
E07000011,Huntingdonshire,0.7023408626611745,0.6848040388399065
E07000029,Copeland,0.3821682252050106,0.39520799946809404
E07000032,Amber Valley,0.5411374394262681,0.5493283117738862
E07000034,Chesterfield,0.4103236875305306,0.41949732742556045
E07000037,High Peak,0.588291909583189,0.6058144113468443
E07000044,South Hams,0.6197910032082132,0.6385568446542518
E07000047,West Devon,0.5096780086688085,0.5063297231304751
E07000062,Hastings,0.2926191445981712,0.26976599361513526
E07000065,Wealden,0.7061070451606286,0.6826615300544697
E07000066,Basildon,0.4687914679480614,0.4715442338619271
E07000068,Brentwood,0.7493159153760512,0.7537096780599135
E07000081,Gloucester,0.49906353225173067,0.498994829323971
E07000082,Stroud,0.7211264659665417,0.7321358046428176
E07000084,Basingstoke and Deane,0.7159494140457506,0.6841009227386228
E07000094,Winchester,0.7841096819935538,0.7679144501328833
E07000096,Dacorum,0.6938195969088267,0.6773207283394046
E07000099,North Hertfordshire,0.7019185140242231,0.7073987626275191
E07000103,Watford,0.5877832730790685,0.5962713400919986
E07000108,Dover,0.462444801841052,0.4558444267412443
E07000123,Preston,0.4042194400562507,0.3641995852006268
E07000125,Rossendale,0.4207246739066553,0.40666128990001055
E07000128,Wyre,0.5261624584595928,0.5031862170793238
E07000129,Blaby,0.7272001136721169,0.7238574429863289
E07000137,East Lindsey,0.341463671346244,0.33123957112833485
E07000140,South Holland,0.4909162763848041,0.5112119688785297
E07000142,West Lindsey,0.5223452368962828,0.514528912612218
E07000143,Breckland,0.4776621798970549,0.4860966353521845
E07000144,Broadland,0.7104355062976383,0.6960474291107912
E07000145,Great Yarmouth,0.32502172531711976,0.30933157900253716
E07000149,South Norfolk,0.6414148419547845,0.6366950433468921
E07000150,Corby,0.38375775957010555,0.37399586948401226
E07000151,Daventry,0.6584598074032657,0.6685110705754375
E07000166,Richmondshire,0.6310217415833976,0.677388502519115
E07000172,Broxtowe,0.6275103962385279,0.6381041171977822
E07000173,Gedling,0.6051909300090039,0.6220025141256453
E07000178,Oxford,0.5440927611429184,0.5781712851466763
E07000179,South Oxfordshire,0.7991756490788487,0.808860472380173
E07000181,West Oxfordshire,0.8094455808580584,0.7999020131590238
E07000199,Tamworth,0.5136540869126021,0.48990891305217393
E07000211,Reigate and Banstead,0.7429390992664892,0.7217962271525772
E07000216,Waverley,0.8398114310284777,0.8334734431289141
E07000221,Stratford-on-Avon,0.6984624650527061,0.6949426057302927
E07000226,Crawley,0.521258162110094,0.4953359370891265
E07000227,Horsham,0.7622640147683536,0.7672300277827584
E07000237,Worcester,0.5227216159226025,0.5226152899629743
E07000239,Wyre Forest,0.490084528022597,0.4881597530442033
E07000240,St Albans,0.8230641704997759,0.809675499004144
E07000242,East Hertfordshire,0.8054894643056504,0.8093802694783117
E08000008,Tameside,0.34414535692375264,0.31299608733836437
E08000014,Sefton,0.43775525278433053,0.4216942332826996
E08000015,Wirral,0.44790602776551813,0.4079694835299094
E08000018,Rotherham,0.38728838945438293,0.36101769605750894
E08000024,Sunderland,0.34628959562735406,0.33233820856145246
E08000032,Bradford,0.3366244881562625,0.31051542381987424
E08000035,Leeds,0.4403848031935666,0.42800672582485033
E09000011,Greenwich,0.3718473580810813,0.3852728604661995
E09000013,Hammersmith and Fulham,0.39716360404919193,0.43240878634447233
E09000017,Hillingdon,0.5405148870317148,0.5390611421967452
E09000018,Hounslow,0.41393625584460086,0.4365558206284873
E09000021,Kingston upon Thames,0.7198247444396874,0.71608648940196
E09000030,Tower Hamlets,0.22853614164357702,0.3156932223000335
E09000033,Westminster,0.3536719677709101,0.4930721538836282
